rssi,snr,pdr,latency_ms,retries,etx,queue_pct,battery_pct,temperature_c,time_on_air_s,spreading_factor,bandwidth_khz,link_success,data_type
-69.93,14.05,1.0,218.48,0,1.0,28.78,46.73,61.79,0.1336,8,125,1,SYNTHETIC-DEMO
-92.86,2.94,0.9257,1907.49,0,1.08,42.04,13.82,17.9,1.8104,12,125,1,SYNTHETIC-DEMO
-112.29,-3.55,0.6242,1175.94,1,1.602,51.8,82.22,49.0,0.4526,10,125,1,SYNTHETIC-DEMO
-77.12,8.65,1.0,183.32,0,1.0,51.23,68.9,23.09,0.0617,9,500,1,SYNTHETIC-DEMO
-97.79,-3.75,0.6429,373.87,1,1.555,34.6,44.58,20.84,0.0719,7,125,1,SYNTHETIC-DEMO
-86.35,2.64,0.9292,399.91,0,1.076,90.73,48.08,38.78,0.0719,7,125,0,SYNTHETIC-DEMO
-118.03,-3.59,0.7041,121.06,0,1.42,9.71,97.4,60.38,0.0719,7,125,1,SYNTHETIC-DEMO
-83.95,6.53,1.0,1201.46,0,1.0,73.81,27.69,39.74,0.9871,11,125,1,SYNTHETIC-DEMO
-100.72,0.66,0.8963,571.81,0,1.116,87.9,60.74,39.09,0.2468,9,125,1,SYNTHETIC-DEMO
-103.28,-5.33,0.5139,1280.71,1,1.946,74.42,95.1,24.3,0.4526,10,125,1,SYNTHETIC-DEMO
-61.31,6.58,0.8917,71.13,0,1.121,16.33,30.22,64.57,0.018,7,500,1,SYNTHETIC-DEMO
-96.89,-0.73,0.8652,2000.0,1,1.156,83.22,25.83,44.54,1.8104,12,125,1,SYNTHETIC-DEMO
-80.93,5.61,0.991,523.93,0,1.009,32.09,83.5,61.29,0.4526,10,125,1,SYNTHETIC-DEMO
-84.2,-0.59,0.8567,367.76,1,1.167,26.6,46.31,34.58,0.0719,7,125,1,SYNTHETIC-DEMO
-118.22,0.38,0.9164,607.62,1,1.091,89.78,27.14,39.07,0.0719,7,125,0,SYNTHETIC-DEMO
-76.38,7.0,1.0,196.51,0,1.0,49.98,50.45,45.96,0.0719,7,125,1,SYNTHETIC-DEMO
-103.99,0.0,0.7901,410.92,1,1.266,45.0,99.21,42.43,0.0668,8,250,1,SYNTHETIC-DEMO
-73.07,6.13,0.9182,307.0,0,1.089,27.55,34.9,37.91,0.2468,9,125,1,SYNTHETIC-DEMO
-85.5,-1.43,0.7087,430.86,1,1.411,52.06,76.74,48.67,0.0668,8,250,1,SYNTHETIC-DEMO
-104.39,-0.78,0.7915,397.08,1,1.263,49.56,17.36,59.22,0.0668,8,250,1,SYNTHETIC-DEMO
-101.84,2.16,1.0,319.84,0,1.0,36.72,72.13,33.69,0.2468,9,125,1,SYNTHETIC-DEMO
-77.45,5.1,0.9574,160.86,0,1.044,35.38,82.86,60.2,0.0719,7,125,1,SYNTHETIC-DEMO
-89.25,6.43,1.0,186.23,0,1.0,29.35,50.46,54.46,0.1336,8,125,1,SYNTHETIC-DEMO
-81.56,4.39,1.0,346.96,0,1.0,70.64,78.75,37.8,0.1336,8,125,1,SYNTHETIC-DEMO
-114.71,-1.24,0.8436,413.47,0,1.185,84.37,83.61,34.07,0.1336,8,125,1,SYNTHETIC-DEMO
-73.85,6.15,0.9228,601.97,0,1.084,58.84,46.9,51.16,0.4526,10,125,1,SYNTHETIC-DEMO
-104.17,0.28,0.9532,219.08,0,1.049,53.41,66.17,38.72,0.0719,7,125,1,SYNTHETIC-DEMO
-84.71,6.86,1.0,291.6,0,1.0,72.1,25.86,59.09,0.0617,9,500,1,SYNTHETIC-DEMO
-117.55,-8.17,0.3188,1981.2,4,3.137,56.96,97.66,58.51,0.2468,9,125,0,SYNTHETIC-DEMO
-104.11,1.24,0.9748,380.12,1,1.026,32.82,19.13,24.4,0.0719,7,125,1,SYNTHETIC-DEMO
